1687207254.816860 client started (12029): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1687207254.816887 on Darwin 22.1.0 Darwin Kernel Version 22.1.0: Sun Oct  9 20:14:30 PDT 2022; root:xnu-8792.41.9~2/RELEASE_ARM64_T8103
1687207254.816904 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1687207254.816919 flags are 0x10010000
1687207254.816924 socket is /private/tmp/tmux-501/default
1687207254.816930 trying connect
1687207254.816966 add peer 0x148008000: 6 (0x0)
1687207254.821546 sending message 100 to peer 0x148008000 (4 bytes)
1687207254.821553 sending message 111 to peer 0x148008000 (8 bytes)
1687207254.821556 sending message 101 to peer 0x148008000 (16 bytes)
1687207254.821560 sending message 109 to peer 0x148008000 (4 bytes)
1687207254.821563 sending message 102 to peer 0x148008000 (13 bytes)
1687207254.821566 sending message 108 to peer 0x148008000 (62 bytes)
1687207254.821569 sending message 112 to peer 0x148008000 (70 bytes)
1687207254.821573 sending message 112 to peer 0x148008000 (5 bytes)
1687207254.821576 sending message 112 to peer 0x148008000 (5 bytes)
1687207254.821579 sending message 112 to peer 0x148008000 (6 bytes)
1687207254.821582 sending message 112 to peer 0x148008000 (6 bytes)
1687207254.821585 sending message 112 to peer 0x148008000 (11 bytes)
1687207254.821588 sending message 112 to peer 0x148008000 (10 bytes)
1687207254.821591 sending message 112 to peer 0x148008000 (13 bytes)
1687207254.821594 sending message 112 to peer 0x148008000 (13 bytes)
1687207254.821597 sending message 112 to peer 0x148008000 (18 bytes)
1687207254.821600 sending message 112 to peer 0x148008000 (11 bytes)
1687207254.821603 sending message 112 to peer 0x148008000 (21 bytes)
1687207254.821606 sending message 112 to peer 0x148008000 (13 bytes)
1687207254.821610 sending message 112 to peer 0x148008000 (7 bytes)
1687207254.821613 sending message 112 to peer 0x148008000 (13 bytes)
1687207254.821617 sending message 112 to peer 0x148008000 (7 bytes)
1687207254.821620 sending message 112 to peer 0x148008000 (13 bytes)
1687207254.821623 sending message 112 to peer 0x148008000 (9 bytes)
1687207254.821626 sending message 112 to peer 0x148008000 (21 bytes)
1687207254.821629 sending message 112 to peer 0x148008000 (13 bytes)
1687207254.821632 sending message 112 to peer 0x148008000 (8 bytes)
1687207254.821635 sending message 112 to peer 0x148008000 (12 bytes)
1687207254.821638 sending message 112 to peer 0x148008000 (13 bytes)
1687207254.821641 sending message 112 to peer 0x148008000 (9 bytes)
1687207254.821644 sending message 112 to peer 0x148008000 (9 bytes)
1687207254.821647 sending message 112 to peer 0x148008000 (12 bytes)
1687207254.821650 sending message 112 to peer 0x148008000 (8 bytes)
1687207254.821653 sending message 112 to peer 0x148008000 (7 bytes)
1687207254.821656 sending message 112 to peer 0x148008000 (7 bytes)
1687207254.821659 sending message 112 to peer 0x148008000 (9 bytes)
1687207254.821662 sending message 112 to peer 0x148008000 (13 bytes)
1687207254.821665 sending message 112 to peer 0x148008000 (9 bytes)
1687207254.821668 sending message 112 to peer 0x148008000 (15 bytes)
1687207254.821671 sending message 112 to peer 0x148008000 (13 bytes)
1687207254.821675 sending message 112 to peer 0x148008000 (12 bytes)
1687207254.821678 sending message 112 to peer 0x148008000 (8 bytes)
1687207254.821681 sending message 112 to peer 0x148008000 (14 bytes)
1687207254.821684 sending message 112 to peer 0x148008000 (9 bytes)
1687207254.821687 sending message 112 to peer 0x148008000 (10 bytes)
1687207254.821690 sending message 112 to peer 0x148008000 (10 bytes)
1687207254.821693 sending message 112 to peer 0x148008000 (10 bytes)
1687207254.821697 sending message 112 to peer 0x148008000 (10 bytes)
1687207254.821699 sending message 112 to peer 0x148008000 (11 bytes)
1687207254.821702 sending message 112 to peer 0x148008000 (10 bytes)
1687207254.821706 sending message 112 to peer 0x148008000 (8 bytes)
1687207254.821709 sending message 112 to peer 0x148008000 (11 bytes)
1687207254.821712 sending message 112 to peer 0x148008000 (11 bytes)
1687207254.821721 sending message 112 to peer 0x148008000 (11 bytes)
1687207254.821724 sending message 112 to peer 0x148008000 (8 bytes)
1687207254.821727 sending message 112 to peer 0x148008000 (8 bytes)
1687207254.821729 sending message 112 to peer 0x148008000 (8 bytes)
1687207254.821732 sending message 112 to peer 0x148008000 (10 bytes)
1687207254.821734 sending message 112 to peer 0x148008000 (10 bytes)
1687207254.821736 sending message 112 to peer 0x148008000 (10 bytes)
1687207254.821738 sending message 112 to peer 0x148008000 (10 bytes)
1687207254.821740 sending message 112 to peer 0x148008000 (10 bytes)
1687207254.821742 sending message 112 to peer 0x148008000 (11 bytes)
1687207254.821744 sending message 112 to peer 0x148008000 (11 bytes)
1687207254.821747 sending message 112 to peer 0x148008000 (10 bytes)
1687207254.821749 sending message 112 to peer 0x148008000 (9 bytes)
1687207254.821751 sending message 112 to peer 0x148008000 (9 bytes)
1687207254.821753 sending message 112 to peer 0x148008000 (12 bytes)
1687207254.821756 sending message 112 to peer 0x148008000 (9 bytes)
1687207254.821758 sending message 112 to peer 0x148008000 (6 bytes)
1687207254.821760 sending message 112 to peer 0x148008000 (13 bytes)
1687207254.821762 sending message 112 to peer 0x148008000 (8 bytes)
1687207254.821764 sending message 112 to peer 0x148008000 (15 bytes)
1687207254.821766 sending message 112 to peer 0x148008000 (13 bytes)
1687207254.821768 sending message 112 to peer 0x148008000 (70 bytes)
1687207254.821770 sending message 112 to peer 0x148008000 (69 bytes)
1687207254.821773 sending message 112 to peer 0x148008000 (10 bytes)
1687207254.821775 sending message 112 to peer 0x148008000 (8 bytes)
1687207254.821777 sending message 112 to peer 0x148008000 (15 bytes)
1687207254.821779 sending message 112 to peer 0x148008000 (13 bytes)
1687207254.821781 sending message 112 to peer 0x148008000 (10 bytes)
1687207254.821783 sending message 112 to peer 0x148008000 (10 bytes)
1687207254.821786 sending message 112 to peer 0x148008000 (5 bytes)
1687207254.821788 sending message 112 to peer 0x148008000 (15 bytes)
1687207254.821791 sending message 104 to peer 0x148008000 (0 bytes)
1687207254.821794 sending message 110 to peer 0x148008000 (0 bytes)
1687207254.821796 sending message 107 to peer 0x148008000 (4 bytes)
1687207254.821798 sending message 105 to peer 0x148008000 (40 bytes)
1687207254.821800 sending message 105 to peer 0x148008000 (14 bytes)
1687207254.821803 sending message 105 to peer 0x148008000 (20 bytes)
1687207254.821805 sending message 105 to peer 0x148008000 (22 bytes)
1687207254.821807 sending message 105 to peer 0x148008000 (27 bytes)
1687207254.821809 sending message 105 to peer 0x148008000 (37 bytes)
1687207254.821811 sending message 105 to peer 0x148008000 (30 bytes)
1687207254.821813 sending message 105 to peer 0x148008000 (34 bytes)
1687207254.821815 sending message 105 to peer 0x148008000 (60 bytes)
1687207254.821818 sending message 105 to peer 0x148008000 (22 bytes)
1687207254.821820 sending message 105 to peer 0x148008000 (61 bytes)
1687207254.821822 sending message 105 to peer 0x148008000 (17 bytes)
1687207254.821824 sending message 105 to peer 0x148008000 (19 bytes)
1687207254.821827 sending message 105 to peer 0x148008000 (27 bytes)
1687207254.821829 sending message 105 to peer 0x148008000 (8 bytes)
1687207254.821831 sending message 105 to peer 0x148008000 (23 bytes)
1687207254.821833 sending message 105 to peer 0x148008000 (32 bytes)
1687207254.821835 sending message 105 to peer 0x148008000 (94 bytes)
1687207254.821838 sending message 105 to peer 0x148008000 (69 bytes)
1687207254.821840 sending message 105 to peer 0x148008000 (11 bytes)
1687207254.821842 sending message 105 to peer 0x148008000 (527 bytes)
1687207254.821844 sending message 105 to peer 0x148008000 (66 bytes)
1687207254.821847 sending message 105 to peer 0x148008000 (15 bytes)
1687207254.821849 sending message 105 to peer 0x148008000 (8 bytes)
1687207254.821851 sending message 105 to peer 0x148008000 (66 bytes)
